Waterbody Name,County,DEC Region,Year,Bloom Type,Date of First Listing,Date of Last Listing,Number of Weeks on DEC Notification List,Number of Weeks with Updates,Latitude,Longitude,Location 1
Dean Pond,Cortland,7,2018,C,07/13/2018,09/14/2018,9,4,42.4477005,-76.0034027,"(42.4477005, -76.0034027)"
Dean Pond,Cortland,7,2017,HT,06/09/2017,09/29/2017,16,7,42.4477005,-76.0034027,"(42.4477005, -76.0034027)"
Dean Pond,Cortland,7,2016,HT,06/10/2016,10/27/2016,20,12,42.4477005,-76.0034027,"(42.4477005, -76.0034027)"
Dean Pond,Cortland,7,2015,HT,05/29/2015,10/13/2015,20,9,42.4477005,-76.0034027,"(42.4477005, -76.0034027)"
Dean Pond,Cortland,7,2013,HT,07/12/2013,10/27/2013,15,13,42.4477005,-76.0034027,"(42.4477005, -76.0034027)"
Deans Pond,Cortland,7,2014,HT,05/20/2014,10/18/2014,22,9,42.4477005,-76.0034027,"(42.4477005, -76.0034027)"
Deep Pond,Suffolk,1,2013,HT,08/28/2013,10/20/2013,8,1,40.9365370,-72.8312950,"(40.936537, -72.831295)"
Deer Lake,Dutchess,3,2018,S,08/10/2018,10/20/2018,10,1,41.9011000,-75.0323180,"(41.9011, -75.032318)"
Delaware Park Lake,Erie,9,2016,C,09/23/2016,10/21/2016,4,2,42.9329987,-78.8703003,"(42.9329987, -78.8703003)"
Delta Lake,Oneida,6,2018,S,07/09/2018,10/27/2018,16,1,43.2932100,-75.4723100,"(43.29321, -75.47231)"
De Ruyter Reservoir,Onondaga,7,2018,C,08/31/2018,10/20/2018,7,3,42.8106995,-75.8886032,"(42.8106995, -75.8886032)"
De Ruyter Reservoir,Madison,7,2018,C,08/31/2018,10/20/2018,7,3,42.8106995,-75.8886032,"(42.8106995, -75.8886032)"
Diverting Reservoir,Putnam,3,2018,S,08/10/2018,10/13/2018,9,1,42.5367600,-77.3012900,"(42.53676, -77.30129)"
Division Pond,Suffolk,1,2014,S,04/08/2014,10/27/2014,29,2,40.8852005,-72.5659027,"(40.8852005, -72.5659027)"
Dryden Lake,Tompkins,7,2018,S,09/14/2018,10/02/2018,3,1,42.4620018,-76.2725983,"(42.4620018, -76.2725983)"
Dryden Lake,Tompkins,7,2017,C,06/30/2017,09/08/2017,10,4,42.4620018,-76.2725983,"(42.4620018, -76.2725983)"
Dryden Lake,Tompkins,7,2016,HT,08/26/2016,09/29/2016,5,2,42.4620018,-76.2725983,"(42.4620018, -76.2725983)"
Duane Lake,Schenectady,4,2018,C,08/10/2018,10/27/2018,11,5,42.7490997,-74.1126022,"(42.7490997, -74.1126022)"
Duane Lake,Schenectady,4,2017,C,09/22/2017,10/02/2017,1,1,42.7490997,-74.1126022,"(42.7490997, -74.1126022)"
Duane Lake,Schenectady,4,2015,S,09/10/2015,10/20/2015,6,3,42.7490997,-74.1126022,"(42.7490997, -74.1126022)"
Duane Lake,Schenectady,4,2014,C,09/01/2014,10/20/2014,7,3,42.7490997,-74.1126022,"(42.7490997, -74.1126022)"
Durand Lake,Monroe,8,2016,HT,09/09/2016,10/13/2016,5,4,43.2332993,-77.5576019,"(43.2332993, -77.5576019)"
Dutch Hollow Brook,Cayuga,7,2015,S,09/18/2015,10/27/2015,6,1,42.8619070,-76.5110260,"(42.861907, -76.511026)"
Eagle Pond,Franklin,5,2018,C,06/01/2018,10/20/2018,20,4,44.6689987,-74.2738037,"(44.6689987, -74.2738037)"
Eagle Pond,Franklin,5,2017,C,06/02/2017,06/30/2017,4,4,44.6689987,-74.2738037,"(44.6689987, -74.2738037)"
Eagle Pond,Franklin,5,2016,C,07/15/2016,08/19/2016,5,2,44.6689987,-74.2738037,"(44.6689987, -74.2738037)"
Eagle Pond,Franklin,5,2012,S,06/22/2012,09/29/2012,14,1,44.6689987,-74.2738037,"(44.6689987, -74.2738037)"
East Branch Hackensack River,Rockland,3,2014,S,06/25/2014,10/20/2014,17,1,41.1211170,-73.9606480,"(41.121117, -73.960648)"
East Branch Hackensack River,Rockland,3,2013,S,08/01/2013,10/02/2013,9,9,41.1211170,-73.9606480,"(41.121117, -73.960648)"
East Branch Hackensack River,Rockland,3,2013,S,08/08/2013,10/02/2013,8,2,41.1211170,-73.9606480,"(41.121117, -73.960648)"
East Caroga Lake,Fulton,5,2015,C,10/30/2015,11/06/2015,1,1,43.1278000,-74.4800034,"(43.1278, -74.4800034)"
East Caroga Lake,Fulton,5,2014,C,09/01/2014,10/27/2014,8,1,43.1278000,-74.4800034,"(43.1278, -74.4800034)"
East Sidney Lake,Delaware,4,2017,S,08/11/2017,10/27/2017,11,3,42.3275986,-75.2145004,"(42.3275986, -75.2145004)"
Echo Lake,Chenango,7,2013,C,05/29/2013,09/29/2013,18,3,42.3862991,-75.8507004,"(42.3862991, -75.8507004)"
Eighth Lake,Hamilton,5,2017,C,08/25/2017,09/15/2017,3,1,43.7789993,-74.7024002,"(43.7789993, -74.7024002)"
Ellis Pond,Dutchess,3,2013,S,08/20/2013,08/27/2013,1,1,41.6825981,-73.5470963,"(41.6825981, -73.5470963)"
Engleville Pond,Schoharie,4,2014,C,07/30/2014,10/20/2014,12,1,42.7570000,-74.6522980,"(42.757, -74.652298)"
Esopus Creek,Ulster,3,2017,S,09/22/2017,10/06/2017,2,1,41.9952460,-73.9975760,"(41.995246, -73.997576)"
Evens Lake,Sullivan,3,2018,C,06/29/2018,09/29/2018,13,4,41.7650010,-74.6524250,"(41.765001, -74.652425)"
Evens Lake,Sullivan,3,2017,HT,04/08/2017,10/27/2017,29,2,41.7650010,-74.6524250,"(41.765001, -74.652425)"
Evens Lake,Sullivan,3,2016,HT,07/01/2016,10/13/2016,15,2,41.7650010,-74.6524250,"(41.765001, -74.652425)"
Evens Lake,Sullivan,3,2015,HT,06/12/2015,10/27/2015,20,9,41.7650010,-74.6524250,"(41.765001, -74.652425)"
Fieldston's Indian Lake (aka: Indian Pond in Crotona Park),Bronx,2,2017,C,05/26/2017,10/20/2017,21,11,40.8382988,-73.8940964,"(40.8382988, -73.8940964)"
Fieldston's Indian Lake (aka: Indian Pond in Crotona Park),Bronx,2,2016,HT,06/24/2016,10/07/2016,15,11,40.8382988,-73.8940964,"(40.8382988, -73.8940964)"
Fieldston's Indian Lake (aka: Indian Pond in Crotona Park),Bronx,2,2015,C,06/26/2015,10/09/2015,15,6,40.8382988,-73.8940964,"(40.8382988, -73.8940964)"
Findley Lake,Chautauqua,9,2018,HT,08/17/2018,10/27/2018,10,5,42.1018982,-79.7261963,"(42.1018982, -79.7261963)"
Findley Lake,Chautauqua,9,2017,C,08/18/2017,10/13/2017,8,4,42.1018982,-79.7261963,"(42.1018982, -79.7261963)"
Findley Lake,Chautauqua,9,2016,C,09/09/2016,10/27/2016,7,1,42.1018982,-79.7261963,"(42.1018982, -79.7261963)"
Findley Lake,Chautauqua,9,2015,HT,08/14/2015,10/02/2015,7,7,42.1018982,-79.7261963,"(42.1018982, -79.7261963)"
Findley Lake,Chautauqua,9,2012,HT,08/06/2012,10/20/2012,11,4,42.1018982,-79.7261963,"(42.1018982, -79.7261963)"
Forest Lake,Niagara,9,2017,C,09/15/2017,09/29/2017,2,1,43.0641980,-78.8266840,"(43.064198, -78.826684)"
Fort Pond,Suffolk,1,2018,C,09/21/2018,10/20/2018,4,4,41.0416985,-71.9532013,"(41.0416985, -71.9532013)"
Fort Pond,Suffolk,1,2017,C,08/11/2017,09/30/2017,7,3,41.0416985,-71.9532013,"(41.0416985, -71.9532013)"
Fort Pond,Suffolk,1,2015,C,07/24/2015,10/02/2015,10,6,41.0416985,-71.9532013,"(41.0416985, -71.9532013)"
Four Corners Pond,Orange,3,2012,C,08/22/2012,10/20/2012,8,1,41.2224998,-74.2223969,"(41.2224998, -74.2223969)"
Fox Lake,Sullivan,3,2016,C,07/22/2016,10/02/2016,10,3,41.5918007,-74.9380035,"(41.5918007, -74.9380035)"
Franklin Falls Pond,Franklin,5,2018,S,09/28/2018,10/13/2018,2,1,44.4748800,-74.5003280,"(44.47488, -74.500328)"
Franklin Falls Pond,Essex,5,2018,S,09/28/2018,10/27/2018,4,1,44.4748800,-74.5003280,"(44.47488, -74.500328)"
Fresh Pond (Hither Hills SP),Suffolk,1,2014,S,07/08/2014,10/27/2014,16,1,41.0158997,-72.0244980,"(41.0158997, -72.024498)"
Fresh Pond (Shelter Island),Suffolk,1,2018,C,07/13/2018,08/17/2018,5,3,41.0575410,-72.3357880,"(41.057541, -72.335788)"
Fresh Pond (Shelter Island),Suffolk,1,2017,S,07/14/2017,07/21/2017,1,1,41.0575410,-72.3357880,"(41.057541, -72.335788)"
Fresh Pond (Shelter Island),Suffolk,1,2015,S,08/14/2015,09/29/2015,7,1,41.0575410,-72.3357880,"(41.057541, -72.335788)"
Friends Lake,Warren,5,2015,C,08/14/2015,10/20/2015,10,1,43.6259003,-73.8440018,"(43.6259003, -73.8440018)"
Georgica Pond,Suffolk,1,2018,C,07/20/2018,09/29/2018,10,10,40.9390984,-72.2291031,"(40.9390984, -72.2291031)"
Georgica Pond,Suffolk,1,2017,C,09/06/2017,10/27/2017,7,1,40.9390984,-72.2291031,"(40.9390984, -72.2291031)"
Georgica Pond,Suffolk,1,2016,C,07/08/2016,10/13/2016,14,7,40.9390984,-72.2291031,"(40.9390984, -72.2291031)"
Georgica Pond,Suffolk,1,2015,C,08/14/2015,10/27/2015,11,7,40.9390984,-72.2291031,"(40.9390984, -72.2291031)"
Georgica Pond,Suffolk,1,2014,C,07/23/2014,10/02/2014,10,8,40.9390984,-72.2291031,"(40.9390984, -72.2291031)"
Georgica Pond,Suffolk,1,2012,S,09/08/2012,10/20/2012,6,1,40.9390984,-72.2291031,"(40.9390984, -72.2291031)"
Gilbert Lake,Otsego,4,2018,S,09/14/2018,10/20/2018,5,1,42.5800018,-75.1283035,"(42.5800018, -75.1283035)"
Gilbert Lake,Otsego,4,2016,S,08/14/2016,10/21/2016,10,4,42.5800018,-75.1283035,"(42.5800018, -75.1283035)"
Gilbert Lake,Otsego,4,2014,C,04/08/2014,06/30/2014,12,3,42.5800018,-75.1283035,"(42.5800018, -75.1283035)"
Glen Lake,Warren,5,2017,C,06/16/2017,10/20/2017,18,1,43.3636017,-73.6732025,"(43.3636017, -73.6732025)"
Glenn Lake,Chenango,7,2016,S,10/14/2016,10/28/2016,2,1,42.4804920,-75.4924930,"(42.480492, -75.492493)"
Glenwood Lake,Orleans,8,2018,S,09/14/2018,10/27/2018,6,1,41.5334400,-74.0453100,"(41.53344, -74.04531)"
Golden Pond,Queens,2,2018,C,07/27/2018,08/17/2018,3,1,40.7710991,-73.7649002,"(40.7710991, -73.7649002)"
Golden Pond,Queens,2,2017,C,08/18/2017,09/29/2017,6,1,40.7710991,-73.7649002,"(40.7710991, -73.7649002)"
Golden Pond,Queens,2,2016,HT,07/29/2016,10/27/2016,13,3,40.7710991,-73.7649002,"(40.7710991, -73.7649002)"
Golden Pond,Queens,2,2015,S,06/08/2015,10/13/2015,18,1,40.7710991,-73.7649002,"(40.7710991, -73.7649002)"
Goodhue Lake,Steuben,8,2012,S,08/25/2012,10/01/2012,5,2,42.1823997,-77.2708969,"(42.1823997, -77.2708969)"
Goodliffe Pond,Westchester,3,2016,S,07/10/2016,10/20/2016,15,1,40.9509010,-73.7714005,"(40.950901, -73.7714005)"
Goose Pond,Queens,2,2018,HT,08/10/2018,10/27/2018,11,6,40.7118988,-73.7986984,"(40.7118988, -73.7986984)"
Goose Pond,Queens,2,2017,HT,05/26/2017,10/02/2017,18,1,40.7118988,-73.7986984,"(40.7118988, -73.7986984)"
Goose Pond,Queens,2,2016,HT,09/23/2016,10/20/2016,4,3,40.7118988,-73.7986984,"(40.7118988, -73.7986984)"
Grass Lake,Jefferson,6,2014,C,09/25/2014,09/29/2014,1,1,44.3400002,-75.7152023,"(44.3400002, -75.7152023)"
Grass Lake,St Lawrence,6,2014,C,09/25/2014,10/16/2014,3,1,44.3400002,-75.7152023,"(44.3400002, -75.7152023)"
Grass Lake,St Lawrence,6,2013,C,09/10/2013,10/27/2013,7,4,44.3400002,-75.7152023,"(44.3400002, -75.7152023)"
Grass Lake,Jefferson,6,2013,C,09/10/2013,10/13/2013,5,4,44.3400002,-75.7152023,"(44.3400002, -75.7152023)"
Grass Lake,St Lawrence,6,2013,C,08/27/2013,10/27/2013,9,9,44.3400002,-75.7152023,"(44.3400002, -75.7152023)"
Grassy Sprain Reservoir,Westchester,3,2014,C,03/11/2014,06/30/2014,16,1,40.9780998,-73.8475037,"(40.9780998, -73.8475037)"
Guilford Lake,Chenango,7,2016,C,09/09/2016,10/20/2016,6,1,42.4128990,-75.4993973,"(42.412899, -75.4993973)"
Hadlock Pond,Washington,5,2017,C,07/28/2017,10/20/2017,12,1,43.4236984,-73.5719986,"(43.4236984, -73.5719986)"
Halsey Pond,Westchester,3,2016,S,07/10/2016,10/02/2016,12,1,41.0290985,-73.8576965,"(41.0290985, -73.8576965)"
Harlem Meer,New York,2,2018,HT,06/08/2018,09/28/2018,16,16,40.7961006,-73.9512024,"(40.7961006, -73.9512024)"
Harlem Meer,New York,2,2017,C,07/21/2017,10/13/2017,12,12,40.7961006,-73.9512024,"(40.7961006, -73.9512024)"
Harlem Meer,New York,2,2016,HT,07/08/2016,10/27/2016,16,16,40.7961006,-73.9512024,"(40.7961006, -73.9512024)"
Harlem Meer,New York,2,2015,HT,07/31/2015,10/13/2015,11,11,40.7961006,-73.9512024,"(40.7961006, -73.9512024)"
Harlem Meer,New York,2,2014,HT,09/17/2014,10/27/2014,6,3,40.7961006,-73.9512024,"(40.7961006, -73.9512024)"
Hatch Lake,Madison,7,2018,C,09/21/2018,10/20/2018,4,2,42.8345985,-75.6778030,"(42.8345985, -75.677803)"
Hatch Lake,Madison,7,2014,C,10/02/2014,10/20/2014,3,1,42.8345985,-75.6778030,"(42.8345985, -75.677803)"
Hatch Lake,Madison,7,2012,C,06/10/2012,06/30/2012,3,3,42.8345985,-75.6778030,"(42.8345985, -75.677803)"
Hessian Lake,Orange,3,2017,S,08/18/2017,10/02/2017,6,1,41.3153992,-73.9913025,"(41.3153992, -73.9913025)"
Hessian Lake,Rockland,3,2017,S,08/18/2017,10/27/2017,10,1,41.3153992,-73.9913025,"(41.3153992, -73.9913025)"
Hiawatha Lake,Onondaga,7,2018,C,07/20/2018,09/29/2018,10,2,43.0257988,-76.1687012,"(43.0257988, -76.1687012)"
Hiawatha Lake,Onondaga,7,2017,HT,06/30/2017,10/27/2017,17,5,43.0257988,-76.1687012,"(43.0257988, -76.1687012)"
Hiawatha Lake,Onondaga,7,2016,C,07/29/2016,10/13/2016,11,1,43.0257988,-76.1687012,"(43.0257988, -76.1687012)"
Hollister Lake,Greene,4,2017,C,04/08/2017,06/30/2017,12,1,42.3095016,-73.8844986,"(42.3095016, -73.8844986)"
Honeoye Lake,Ontario,8,2018,C,06/08/2018,10/27/2018,20,15,42.7542000,-77.5115967,"(42.7542, -77.5115967)"
Honeoye Lake,Ontario,8,2017,C,07/07/2017,10/13/2017,14,13,42.7542000,-77.5115967,"(42.7542, -77.5115967)"
Honeoye Lake,Ontario,8,2016,C,07/29/2016,10/27/2016,13,9,42.7542000,-77.5115967,"(42.7542, -77.5115967)"
Honeoye Lake,Ontario,8,2015,C,08/21/2015,10/09/2015,7,7,42.7542000,-77.5115967,"(42.7542, -77.5115967)"
Honeoye Lake,Ontario,8,2014,HT,06/27/2014,10/20/2014,16,8,42.7542000,-77.5115967,"(42.7542, -77.5115967)"
Honeoye Lake,Ontario,8,2013,HT,07/05/2013,10/20/2013,15,13,42.7542000,-77.5115967,"(42.7542, -77.5115967)"
Honeoye Lake,Ontario,8,2012,S,06/20/2012,09/12/2012,12,7,42.7542000,-77.5115967,"(42.7542, -77.5115967)"
Hook Pond,Suffolk,1,2016,C,08/12/2016,09/30/2016,7,5,40.9478989,-72.1900024,"(40.9478989, -72.1900024)"
Hook Pond,Suffolk,1,2015,C,09/11/2015,09/29/2015,3,1,40.9478989,-72.1900024,"(40.9478989, -72.1900024)"
Hyde Lake,Jefferson,6,2018,S,08/17/2018,10/20/2018,9,2,44.2435989,-75.8331985,"(44.2435989, -75.8331985)"
Hyde Lake,Jefferson,6,2017,S,08/19/2017,08/25/2017,1,1,44.2435989,-75.8331985,"(44.2435989, -75.8331985)"
Hyden Park Lake,Niagara,8,2018,C,07/13/2018,10/02/2018,12,1,43.1006620,-79.0223240,"(43.100662, -79.022324)"
Hyde Park Lake,Niagara,9,2016,C,08/19/2016,10/20/2016,9,1,43.1006620,-79.0223240,"(43.100662, -79.022324)"
Indian Lake,Putnam,3,2018,C,06/29/2018,10/27/2018,17,1,41.3731003,-73.8877029,"(41.3731003, -73.8877029)"
Indian Lake,Bronx,2,2018,C,06/22/2018,10/13/2018,16,7,41.3731003,-73.8877029,"(41.3731003, -73.8877029)"
Indian Lake,Putnam,3,2017,C,07/07/2017,10/27/2017,16,1,41.3731003,-73.8877029,"(41.3731003, -73.8877029)"
Iroquois Lake,Schenectady,4,2016,C,10/07/2016,10/14/2016,1,1,42.8010670,-73.9118080,"(42.801067, -73.911808)"
Iroquois Lake,Schenectady,4,2015,S,08/24/2015,09/29/2015,5,1,42.8010670,-73.9118080,"(42.801067, -73.911808)"
Jamesville Reservoir,Onondaga,7,2018,C,06/29/2018,10/20/2018,16,3,42.9739990,-76.0690994,"(42.973999, -76.0690994)"
Jamesville Reservoir,Onondaga,7,2017,C,08/11/2017,09/01/2017,3,1,42.9739990,-76.0690994,"(42.973999, -76.0690994)"
Java Lake,Wyoming,8,2018,HT,07/20/2018,09/29/2018,10,6,42.6313019,-78.3439026,"(42.6313019, -78.3439026)"
Java Lake,Wyoming,8,2017,HT,07/07/2017,10/27/2017,16,11,42.6313019,-78.3439026,"(42.6313019, -78.3439026)"
Java Lake,Wyoming,8,2016,C,07/22/2016,10/13/2016,12,3,42.6313019,-78.3439026,"(42.6313019, -78.3439026)"
Java Lake,Wyoming,8,2015,HT,07/17/2015,10/27/2015,15,4,42.6313019,-78.3439026,"(42.6313019, -78.3439026)"
Java Lake,Wyoming,8,2014,HT,08/11/2014,10/02/2014,7,3,42.6313019,-78.3439026,"(42.6313019, -78.3439026)"
Java Lake,Wyoming,8,2012,C,07/19/2012,10/20/2012,13,7,42.6313019,-78.3439026,"(42.6313019, -78.3439026)"
Kellis Pond,Suffolk,1,2017,C,10/06/2017,10/27/2017,3,3,40.9272003,-72.3174973,"(40.9272003, -72.3174973)"
Kellis Pond,Suffolk,1,2016,C,07/15/2016,09/16/2016,9,6,40.9272003,-72.3174973,"(40.9272003, -72.3174973)"
Kellis Pond,Suffolk,1,2015,C,07/17/2015,09/25/2015,10,5,40.9272003,-72.3174973,"(40.9272003, -72.3174973)"
Keuka Lake,Steuben,8,2018,HT,08/17/2018,10/27/2018,10,4,42.4934006,-77.1395035,"(42.4934006, -77.1395035)"
Keuka Lake,Yates,8,2018,HT,08/17/2018,10/13/2018,8,4,42.4934006,-77.1395035,"(42.4934006, -77.1395035)"
Keuka Lake,Yates,8,2017,HT,04/08/2017,10/02/2017,25,5,42.4934006,-77.1395035,"(42.4934006, -77.1395035)"
Keuka Lake,Steuben,8,2017,HT,04/08/2017,10/20/2017,28,5,42.4934006,-77.1395035,"(42.4934006, -77.1395035)"
Kiamesha Lake,Sullivan,3,2015,C,07/17/2015,10/27/2015,15,2,41.6768990,-74.6663971,"(41.676899, -74.6663971)"
Kinderhook Lake,Columbia,5,2018,C,06/29/2018,09/29/2018,13,3,42.3481200,-73.6635900,"(42.34812, -73.66359)"
Kings Point Pond,Nassau,1,2018,C,09/14/2018,10/05/2018,3,1,40.8306100,-73.7519500,"(40.83061, -73.75195)"
Kirk Lake,Putnam,3,2018,C,03/08/2018,10/27/2018,33,3,41.3856010,-73.7498016,"(41.385601, -73.7498016)"
Kirk Lake,Putnam,3,2017,C,07/28/2017,10/13/2017,11,1,41.3856010,-73.7498016,"(41.385601, -73.7498016)"
Kirk Lake,Putnam,3,2016,C,07/29/2016,10/02/2016,9,3,41.3856010,-73.7498016,"(41.385601, -73.7498016)"
Kirk Lake,Putnam,3,2015,C,03/07/2015,10/20/2015,32,7,41.3856010,-73.7498016,"(41.385601, -73.7498016)"
Kirk Lake,Putnam,3,2014,HT,03/10/2014,10/20/2014,32,2,41.3856010,-73.7498016,"(41.385601, -73.7498016)"
Kirk Lake,Putnam,3,2013,C,08/12/2013,09/09/2013,4,2,41.3856010,-73.7498016,"(41.385601, -73.7498016)"
Kissena Lake,Queens,2,2018,C,06/22/2018,10/20/2018,17,9,40.7481003,-73.8054962,"(40.7481003, -73.8054962)"
Kissena Lake,Queens,2,2017,HT,05/26/2017,10/20/2017,21,7,40.7481003,-73.8054962,"(40.7481003, -73.8054962)"
Kissena Lake,Queens,2,2016,C,07/15/2016,10/01/2016,11,7,40.7481003,-73.8054962,"(40.7481003, -73.8054962)"
Kissena Lake,Queens,2,2015,HT,07/31/2015,08/21/2015,3,3,40.7481003,-73.8054962,"(40.7481003, -73.8054962)"
Kissena Lake,Queens,2,2014,HT,05/30/2014,09/29/2014,17,6,40.7481003,-73.8054962,"(40.7481003, -73.8054962)"
Kissena Lake,Queens,2,2013,S,08/28/2013,10/27/2013,9,2,40.7481003,-73.8054962,"(40.7481003, -73.8054962)"
Kyser Lake,Herkimer,5,2015,S,09/18/2015,10/27/2015,6,1,43.0681992,-74.7705002,"(43.0681992, -74.7705002)"
Kyser Lake,Fulton,5,2015,S,09/18/2015,10/02/2015,2,1,43.0681992,-74.7705002,"(43.0681992, -74.7705002)"
Lake Anawanda,Sullivan,3,2013,C,07/15/2013,10/13/2013,13,8,41.8574982,-74.9628983,"(41.8574982, -74.9628983)"
Lake Boyce,Rockland,3,2015,S,07/14/2015,10/27/2015,15,1,41.2475014,-74.0034027,"(41.2475014, -74.0034027)"
Lake Capri,Suffolk,1,2014,C,04/09/2014,09/29/2014,25,1,40.6967010,-73.3007965,"(40.696701, -73.3007965)"
Lake Carmel,Putnam,3,2018,C,06/29/2018,10/20/2018,16,3,41.4584999,-73.6650009,"(41.4584999, -73.6650009)"
Lake Carmel,Putnam,3,2017,C,07/07/2017,10/20/2017,15,5,41.4584999,-73.6650009,"(41.4584999, -73.6650009)"
Lake Carmel,Putnam,3,2016,C,08/12/2016,09/16/2016,5,1,41.4584999,-73.6650009,"(41.4584999, -73.6650009)"
Lake Carmel,Putnam,3,2015,S,07/18/2015,08/14/2015,4,2,41.4584999,-73.6650009,"(41.4584999, -73.6650009)"
Lake Casse,Putnam,3,2018,C,08/06/2018,10/13/2018,10,6,41.3862991,-73.7099991,"(41.3862991, -73.7099991)"
Lake Casse,Putnam,3,2017,S,07/21/2017,10/02/2017,10,4,41.3862991,-73.7099991,"(41.3862991, -73.7099991)"
Lake Casse,Putnam,3,2016,S,08/12/2016,08/19/2016,1,1,41.3862991,-73.7099991,"(41.3862991, -73.7099991)"
Lake Champlain,Essex,5,2018,S,09/07/2018,10/12/2018,5,3,44.5694008,-73.1817017,"(44.5694008, -73.1817017)"
Lake Champlain,Washington,5,2018,S,09/14/2018,10/19/2018,5,3,44.5694008,-73.1817017,"(44.5694008, -73.1817017)"
Lake Champlain,Clinton,5,2018,S,09/14/2018,10/27/2018,6,3,44.5694008,-73.1817017,"(44.5694008, -73.1817017)"
Lake Como,Cayuga,7,2015,HT,07/08/2015,10/20/2015,15,5,42.6772003,-76.3024979,"(42.6772003, -76.3024979)"
Lake Como,Cayuga,7,2013,C,07/15/2013,08/14/2013,4,4,42.6772003,-76.3024979,"(42.6772003, -76.3024979)"
Lake Eaton,Hamilton,5,2016,S,09/09/2016,10/20/2016,6,1,43.9789009,-74.4664001,"(43.9789009, -74.4664001)"
Lake Huntington,Sullivan,3,2017,S,09/29/2017,10/13/2017,2,2,41.6828995,-74.9904022,"(41.6828995, -74.9904022)"
Lake Huntington,Sullivan,3,2016,S,07/15/2016,10/27/2016,15,1,41.6828995,-74.9904022,"(41.6828995, -74.9904022)"
Lake Huntington,Sullivan,3,2014,C,09/03/2014,10/03/2014,4,2,41.6828995,-74.9904022,"(41.6828995, -74.9904022)"
Lake Katonah,Westchester,3,2015,C,09/11/2015,09/25/2015,2,1,41.2853012,-73.6549988,"(41.2853012, -73.6549988)"
Lake Katonah,Westchester,3,2014,C,09/02/2014,09/29/2014,4,2,41.2853012,-73.6549988,"(41.2853012, -73.6549988)"
Lake Katonah,Westchester,3,2013,C,07/30/2013,09/30/2013,9,9,41.2853012,-73.6549988,"(41.2853012, -73.6549988)"
Lake Katonah,Westchester,3,2013,C,08/13/2013,10/27/2013,11,4,41.2853012,-73.6549988,"(41.2853012, -73.6549988)"
Lake Lacoma,Monroe,7,2018,C,06/15/2018,10/20/2018,18,1,43.0508995,-77.4794006,"(43.0508995, -77.4794006)"
Lake Lacoma,Monroe,8,2017,C,06/09/2017,10/20/2017,19,6,43.0508995,-77.4794006,"(43.0508995, -77.4794006)"
Lake Lacoma,Monroe,8,2014,S,09/28/2014,10/26/2014,4,1,43.0508995,-77.4794006,"(43.0508995, -77.4794006)"
Lake Lincolndale,Westchester,3,2018,HT,08/10/2018,09/29/2018,7,2,41.3419991,-73.7254028,"(41.3419991, -73.7254028)"
Lake Lincolndale,Westchester,3,2016,HT,05/08/2016,10/27/2016,25,4,41.3419991,-73.7254028,"(41.3419991, -73.7254028)"
Lake Lincolndale,Westchester,3,2015,C,03/07/2015,10/13/2015,31,3,41.3419991,-73.7254028,"(41.3419991, -73.7254028)"
Lake Lincolndale,Westchester,3,2014,HT,06/14/2014,10/27/2014,19,3,41.3419991,-73.7254028,"(41.3419991, -73.7254028)"
Lake Lincolndale,Westchester,3,2013,C,06/15/2013,10/02/2013,16,8,41.3419991,-73.7254028,"(41.3419991, -73.7254028)"
Lake Lucille,Rockland,3,2018,C,09/21/2018,10/05/2018,2,1,41.1837006,-73.9978027,"(41.1837006, -73.9978027)"
Lake Lucille,Rockland,3,2013,C,07/10/2013,10/20/2013,15,1,41.1837006,-73.9978027,"(41.1837006, -73.9978027)"
Lake Lucille,Rockland,3,2012,C,07/03/2012,07/10/2012,1,1,41.1837006,-73.9978027,"(41.1837006, -73.9978027)"
Lake Mahopac,Putnam,3,2018,S,06/08/2018,10/20/2018,19,2,41.3555800,-73.7784000,"(41.35558, -73.7784)"
Lake Mohegan,Westchester,3,2018,C,06/22/2018,10/19/2018,17,7,41.3139992,-73.8488007,"(41.3139992, -73.8488007)"
Lake Mohegan,Westchester,3,2017,C,07/07/2017,09/29/2017,12,5,41.3139992,-73.8488007,"(41.3139992, -73.8488007)"
Lake Mohegan,Westchester,3,2015,C,06/26/2015,10/27/2015,18,2,41.3139992,-73.8488007,"(41.3139992, -73.8488007)"
Lake Mohegan,Westchester,3,2014,HT,07/20/2014,10/13/2014,12,10,41.3139992,-73.8488007,"(41.3139992, -73.8488007)"
Lake Mohegan,Westchester,3,2013,HT,07/14/2013,10/27/2013,15,3,41.3139992,-73.8488007,"(41.3139992, -73.8488007)"
Lake Mohegan,Westchester,3,2012,C,08/07/2012,10/02/2012,8,4,41.3139992,-73.8488007,"(41.3139992, -73.8488007)"
Lake Moraine,Madison,7,2017,C,06/16/2017,10/02/2017,15,1,42.8502007,-75.5222015,"(42.8502007, -75.5222015)"
Lake Moraine,Madison,7,2015,C,07/17/2015,10/20/2015,14,2,42.8502007,-75.5222015,"(42.8502007, -75.5222015)"
Lake Moraine,Madison,7,2013,HT,10/01/2013,10/20/2013,3,1,42.8502007,-75.5222015,"(42.8502007, -75.5222015)"
Lake Moraine,Madison,7,2012,C,09/23/2012,09/30/2012,1,1,42.8502007,-75.5222015,"(42.8502007, -75.5222015)"
